Designator,Mid X,Mid Y,Rotation,Layer
C1,157.725,-120.825,200.0,top
C2,154.25,-109.55,20.0,top
C3,162.425,-112.375,150.0,top
C4,137.95,-113.175,30.0,top
C5,149.625,-116.05,110.0,top
C6,157.75,-83.2,330.0,top
D1,161.45,-95.0,180.0,top
D2,149.775,-88.325,180.0,top
D3,138.225,-94.075,180.0,top
D4,161.9,-107.775,225.0,top
D5,146.75,-112.4,165.0,top
D6,137.425,-106.7,120.0,top
D7,150.2,-96.85,0.0,top
D8,152.9375,-101.7,240.0,top
D9,147.125,-101.75,120.0,top
J1,163.6,-115.349261,210.0,bottom
J2,130.557023,-105.665664,240.0,bottom
J3,131.95,-92.6,20.0,bottom
J4,166.725,-96.2,0.0,bottom
J5,134.375,-88.2,35.0,bottom
M1,150.0,-94.2,0.0,bottom
R1,130.075,-109.95,300.0,top
R2,163.225,-111.075,150.0,top
R3,166.15,-87.05625,180.0,top
R4,164.525,-105.325,135.0,top
R5,145.55,-96.9,0.0,top
R6,147.975,-117.925,255.0,top
U1,155.75,-115.4,290.0,top
U2,143.377046,-116.94138,345.0,top
U3,134.170505,-110.152217,120.0,top
U4,167.525,-91.40625,90.0,top
Y1,137.508117,-116.145262,165.0,top
Y2,151.375,-109.9,290.0,top
