Designator,Mid X,Mid Y,Rotation,Layer
C1,157.725,-120.825,200.0,top
C2,154.2,-109.4,20.0,top
C3,161.75,-113.0,115.4,top
C4,137.95,-113.175,30.0,top
C5,149.625,-116.05,110.0,top
C6,157.75,-83.2,150.0,top
D1,138.23,-94.06,0.0,top
D10,169.19,-91.26,270.0,top
D2,149.775,-88.325,0.0,top
D3,161.43,-94.25,0.0,top
D4,137.42,-106.74,300.0,top
D5,146.75,-112.4,345.0,top
D6,161.92,-107.7,45.0,top
D7,149.561362,-103.25,180.0,top
D8,146.823862,-98.070689,60.0,top
D9,152.636362,-98.020689,300.0,top
J1,165.875,-110.100739,210.0,bottom
J2,131.72,-105.0,240.0,bottom
J4,166.66,-92.53,0.0,bottom
J5,134.375,-88.2,35.0,bottom
J6,167.9,-95.0,90.0,bottom
J7,156.512188,-115.295904,160.0,bottom
M1,149.99,-94.2,0.0,bottom
R1,130.075,-109.95,300.0,top
R2,162.75,-111.25,115.4,top
R3,134.51,-93.14,270.0,top
R4,139.75,-105.5,120.0,top
R5,153.25,-103.329311,90.0,top
R6,147.975,-117.925,255.0,top
U1,155.75,-115.4,200.0,top
U2,143.377046,-116.94138,255.0,top
U3,134.170505,-110.152217,30.0,top
U4,165.2875,-88.59,270.0,top
Y1,137.508117,-116.145262,165.0,top
Y2,151.375,-109.9,290.0,top
